path,kind,size_bytes,size_mb,size_gb,ext,relpath
data\user_data\D3\tabular\tabular_000236.csv,csv,2949775,2.813124656677246,0.002747192047536373,.csv,tabular\tabular_000236.csv
data\user_data\D3\tabular\tabular_000237.csv,csv,2481843,2.3668699264526367,0.002311396412551403,.csv,tabular\tabular_000237.csv
data\user_data\D3\tabular\tabular_000238.csv,csv,5149376,4.91082763671875,0.004795730113983154,.csv,tabular\tabular_000238.csv
data\user_data\D3\tabular\tabular_000239.csv,csv,4007989,3.8223161697387695,0.003732730634510517,.csv,tabular\tabular_000239.csv
data\user_data\D3\tabular\tabular_000240.csv,csv,2496807,2.38114070892334,0.002325332723557949,.csv,tabular\tabular_000240.csv
data\user_data\D3\tabular\tabular_000241.csv,csv,8390016,8.0013427734375,0.007813811302185059,.csv,tabular\tabular_000241.csv
data\user_data\D3\tabular\tabular_000242.csv,csv,1644904,1.5687026977539062,0.001531936228275299,.csv,tabular\tabular_000242.csv
data\user_data\D3\tabular\tabular_000243.csv,csv,12884843,12.287943840026855,0.011999945156276226,.csv,tabular\tabular_000243.csv
data\user_data\D3\tabular\tabular_000244.csv,csv,12812699,12.219141960144043,0.011932755820453167,.csv,tabular\tabular_000244.csv
data\user_data\D3\tabular\tabular_000245.csv,csv,11953912,11.400138854980469,0.011132948100566864,.csv,tabular\tabular_000245.csv
data\user_data\D3\tabular\tabular_000246.csv,csv,13717154,13.081697463989258,0.01277509517967701,.csv,tabular\tabular_000246.csv
data\user_data\D3\tabular\tabular_000247.csv,csv,2084040,1.9874954223632812,0.0019409134984016418,.csv,tabular\tabular_000247.csv
data\user_data\D3\tabular\tabular_000248.csv,csv,1245851,1.188136100769043,0.0011602891609072685,.csv,tabular\tabular_000248.csv
data\user_data\D3\tabular\tabular_000249.csv,csv,9067904,8.6478271484375,0.008445143699645996,.csv,tabular\tabular_000249.csv
data\user_data\D3\tabular\tabular_000250.csv,csv,3167734,3.020986557006836,0.0029501821845769882,.csv,tabular\tabular_000250.csv
data\user_data\D3\tabular\tabular_000251.csv,csv,5866131,5.594378471374512,0.005463260225951672,.csv,tabular\tabular_000251.csv
data\user_data\D3\tabular\tabular_000252.csv,csv,14416059,13.748225212097168,0.01342600118368864,.csv,tabular\tabular_000252.csv
data\user_data\D3\tabular\tabular_000253.csv,csv,2185095,2.083868980407715,0.002035028301179409,.csv,tabular\tabular_000253.csv
data\user_data\D3\tabular\tabular_000254.csv,csv,1818927,1.734663963317871,0.0016940077766776085,.csv,tabular\tabular_000254.csv
data\user_data\D3\tabular\tabular_000255.csv,csv,2247254,2.143148422241211,0.0020929183810949326,.csv,tabular\tabular_000255.csv
data\user_data\D3\tabular\tabular_000256.csv,csv,1968275,1.8770933151245117,0.001833098940551281,.csv,tabular\tabular_000256.csv
