algorithm,keygen_us,encaps_us,decaps_us
Kyber768,6353.1,10250.0,15066.8
Kyber768,6315.0,9441.0,10811.1
Kyber768,6472.1,7973.4,11330.3
Kyber768,6312.4,10154.4,15217.0
Kyber768,6411.9,11388.0,12666.1
Kyber768,6711.1,11239.8,11742.0
Kyber768,7575.1,8368.1,12143.3
Kyber768,6792.1,8327.6,13149.9
Kyber768,6584.3,13467.8,12969.9
Kyber768,6656.2,8599.1,11296.9
Kyber768,8644.3,8720.3,11712.7
Kyber768,6637.6,8320.8,11511.9
Kyber768,6582.5,9738.8,11762.5
Kyber768,6593.6,8384.1,11298.8
Kyber768,7422.7,8325.9,12347.9
Kyber768,7506.1,7967.4,11863.8
Kyber768,6301.8,9793.8,11310.0
Kyber768,6445.6,8492.2,14849.0
Kyber768,9854.4,10090.4,10963.9
Kyber768,6348.2,8136.0,10824.2
Kyber768,10196.0,8441.3,13583.4
Kyber768,6316.1,11541.1,11277.0
Kyber768,6318.6,10639.9,12103.3
Kyber768,6332.8,7927.6,12263.7
Kyber768,10703.4,19602.4,14021.0
Kyber768,6360.4,8784.4,10835.5
Kyber768,6694.9,7911.9,12094.7
Kyber768,6323.1,10735.2,15921.8
Kyber768,6375.6,9226.1,12035.1
Kyber768,6517.2,9259.2,11138.4
Kyber768,7051.9,8012.2,12115.7
Kyber768,6312.0,8256.3,33623.8
Kyber768,7258.5,11823.6,15204.2
Kyber768,6320.5,10113.2,12075.5
Kyber768,6838.2,7904.9,12277.0
Kyber768,6544.3,7934.0,11163.0
Kyber768,6313.3,8173.2,10834.8
Kyber768,6840.7,7968.8,12496.2
Kyber768,6619.4,8546.4,11930.4
Kyber768,6373.0,9470.8,13253.4
Kyber768,6631.3,7934.9,14915.8
Kyber768,6354.4,8435.7,12693.3
Kyber768,7198.3,8402.1,10858.0
Kyber768,6713.8,7951.5,10886.1
Kyber768,6342.6,10376.9,12386.0
Kyber768,7532.4,7970.8,12053.9
Kyber768,7229.4,9793.7,11956.1
Kyber768,6632.8,9872.3,13828.1
Kyber768,6409.4,8106.5,11073.8
Kyber768,8287.5,8313.0,23960.0
Kyber768,16020.2,11473.6,12646.9
Kyber768,7315.9,8536.9,16361.1
Kyber768,9204.1,10586.0,12768.6
Kyber768,6627.4,11226.9,12212.7
Kyber768,6646.7,8612.9,11334.3
Kyber768,10309.0,8662.0,19022.6
Kyber768,7821.4,9496.6,11892.6
Kyber768,6971.2,8335.1,12545.7
Kyber768,6728.6,8800.8,11702.2
Kyber768,7032.6,10042.1,11420.5
Kyber768,11197.8,8622.0,11387.7
Kyber768,8022.6,8333.7,14075.5
Kyber768,6806.0,8629.9,11996.8
Kyber768,6617.4,11120.7,13587.2
Kyber768,6648.6,10579.0,13954.0
Kyber768,8384.2,9684.5,13100.5
Kyber768,6868.7,8291.5,16971.8
Kyber768,7056.1,8102.9,11279.1
Kyber768,6340.2,10101.2,14826.4
Kyber768,6703.9,8947.7,11078.5
Kyber768,15988.5,11309.0,15140.0
Kyber768,7713.7,10510.1,12867.5
Kyber768,6545.3,8680.8,12372.0
Kyber768,8387.1,8331.5,11632.5
Kyber768,6562.1,9863.7,14095.9
Kyber768,6621.3,9132.6,12561.1
Kyber768,6506.1,10618.9,15487.5
Kyber768,6325.1,8147.0,17939.7
Kyber768,7148.7,8090.8,12224.0
Kyber768,6688.4,8156.2,14244.4
Kyber768,6409.8,8345.9,11096.4
Kyber768,7912.4,8012.6,11597.0
Kyber768,7051.3,8273.8,12423.4
Kyber768,6683.6,14432.2,12694.1
Kyber768,6596.6,10756.2,15014.5
Kyber768,6616.3,13407.3,12140.1
Kyber768,6614.0,9867.6,11367.8
Kyber768,7309.1,8333.9,12263.6
Kyber768,6687.0,10661.3,11696.8
Kyber768,6601.0,10184.8,12375.0
Kyber768,6872.7,8470.0,11462.2
Kyber768,7390.6,7992.9,11058.2
Kyber768,6334.8,10346.7,11068.9
Kyber768,6764.5,7997.3,12186.3
Kyber768,6397.9,10409.1,11861.6
Kyber768,6303.1,8198.8,10862.7
Kyber768,7991.9,7963.8,16619.7
Kyber768,7547.8,8042.3,12039.9
Kyber768,6306.3,9094.5,11213.5
Kyber768,6522.2,7984.5,12740.6
Kyber768,6470.6,7967.6,12970.8
Kyber768,6331.5,8681.8,10894.1
Kyber768,8987.5,8013.1,12062.3
Kyber768,6635.8,8695.1,10950.2
Kyber768,6323.8,8838.4,10853.7
Kyber768,7325.6,7949.8,15954.8
Kyber768,6641.2,9530.2,11371.2
Kyber768,6396.2,9039.0,10888.6
Kyber768,7742.8,8056.8,12542.6
Kyber768,6585.2,8005.1,11417.2
Kyber768,6389.0,9968.3,10902.2
Kyber768,6388.6,8676.6,15799.6
Kyber768,7126.7,9756.1,11841.1
Kyber768,6643.8,10344.5,12899.1
Kyber768,6921.2,8557.7,12438.3
Kyber768,7632.9,8374.0,12532.8
Kyber768,6575.0,9565.2,11773.7
Kyber768,6619.6,9369.1,11372.1
Kyber768,10938.9,8403.0,11960.2
Kyber768,7278.5,8395.0,11769.7
Kyber768,6614.4,8913.5,11753.3
Kyber768,8294.6,10435.4,14808.0
Kyber768,8419.8,8066.2,13788.4
Kyber768,7350.3,8019.1,11043.0
Kyber768,6304.3,9720.8,12124.7
Kyber768,6373.5,8929.0,16559.3
Kyber768,10710.5,14398.6,15346.7
Kyber768,14401.6,8804.5,22848.1
Kyber768,7100.7,9359.4,11196.1
Kyber768,7757.9,8190.0,13789.3
Kyber768,7033.3,8749.0,13136.2
Kyber768,6376.0,11587.1,18182.8
Kyber768,6356.4,9328.8,11118.1
Kyber768,6347.2,8430.8,10920.7
Kyber768,6459.5,8082.2,11184.1
