path,pipeline,description,size_mb,throughput_mbps
data\user_data\D1\PXL_20260129_160048311.TS-000.MP.jpg,A,zstd + AES + KEM,6.483567237854004,98.7116273502336
data\user_data\D1\PXL_20260129_160048311.TS-000.MP.jpg,B,raw + AES + KEM,6.483567237854004,152.3473310317542
data\user_data\D1\PXL_20260129_160048311.TS-000.MP.jpg,C,raw + AES,6.483567237854004,735.5820421831133
data\user_data\D1\PXL_20260129_160048311.TS-000.MP.jpg,D,gzip + AES + KEM,6.483567237854004,17.721012194159005
data\user_data\D1\PXL_20260129_160249636.TS-000.MP.jpg,A,zstd + AES + KEM,6.272109031677246,96.38781027372157
data\user_data\D1\PXL_20260129_160249636.TS-000.MP.jpg,B,raw + AES + KEM,6.272109031677246,152.23824256726934
data\user_data\D1\PXL_20260129_160249636.TS-000.MP.jpg,C,raw + AES,6.272109031677246,755.1208209079122
data\user_data\D1\PXL_20260129_160249636.TS-000.MP.jpg,D,gzip + AES + KEM,6.272109031677246,17.769141816902223
data\user_data\D1\PXL_20260224_102656638.TS-000.MP.jpg,A,zstd + AES + KEM,6.20916748046875,86.8056882040266
data\user_data\D1\PXL_20260224_102656638.TS-000.MP.jpg,B,raw + AES + KEM,6.20916748046875,144.3790976406306
data\user_data\D1\PXL_20260224_102656638.TS-000.MP.jpg,C,raw + AES,6.20916748046875,725.488689421587
data\user_data\D1\PXL_20260224_102656638.TS-000.MP.jpg,D,gzip + AES + KEM,6.20916748046875,15.845396287217698
data\user_data\D1\PXL_20260224_102700211.TS-000.MP.jpg,A,zstd + AES + KEM,6.82878303527832,62.58117791942844
data\user_data\D1\PXL_20260224_102700211.TS-000.MP.jpg,B,raw + AES + KEM,6.82878303527832,153.62150263170923
data\user_data\D1\PXL_20260224_102700211.TS-000.MP.jpg,C,raw + AES,6.82878303527832,720.7995717778018
data\user_data\D1\PXL_20260224_102700211.TS-000.MP.jpg,D,gzip + AES + KEM,6.82878303527832,17.05027815968196
data\user_data\D1\PXL_20260313_104321385.mp4,A,zstd + AES + KEM,16.0,173.24304487502602
data\user_data\D1\PXL_20260313_104321385.mp4,B,raw + AES + KEM,16.0,287.69475608491234
data\user_data\D1\PXL_20260313_104321385.mp4,C,raw + AES,16.0,717.8138980075933
data\user_data\D1\PXL_20260313_104321385.mp4,D,gzip + AES + KEM,16.0,19.35591265169155
data\user_data\D1\PXL_20260313_104334573.mp4,A,zstd + AES + KEM,16.0,173.88129110280943
data\user_data\D1\PXL_20260313_104334573.mp4,B,raw + AES + KEM,16.0,268.2120146996174
data\user_data\D1\PXL_20260313_104334573.mp4,C,raw + AES,16.0,768.1819061450681
data\user_data\D1\PXL_20260313_104334573.mp4,D,gzip + AES + KEM,16.0,18.945994088798905
data\user_data\D1\PXL_20260314_144839464.mp4,A,zstd + AES + KEM,16.0,158.86932702712858
data\user_data\D1\PXL_20260314_144839464.mp4,B,raw + AES + KEM,16.0,289.84089534229844
data\user_data\D1\PXL_20260314_144839464.mp4,C,raw + AES,16.0,765.8433850109651
data\user_data\D1\PXL_20260314_144839464.mp4,D,gzip + AES + KEM,16.0,19.51536041721456
data\user_data\D1\PXL_20260314_150036469.mp4,A,zstd + AES + KEM,16.0,161.2984525152271
data\user_data\D1\PXL_20260314_150036469.mp4,B,raw + AES + KEM,16.0,290.2710225185406
data\user_data\D1\PXL_20260314_150036469.mp4,C,raw + AES,16.0,756.4368044454826
data\user_data\D1\PXL_20260314_150036469.mp4,D,gzip + AES + KEM,16.0,18.46669848301678
data\user_data\D1\PXL_20260314_150050400.mp4,A,zstd + AES + KEM,16.0,159.09348539992777
data\user_data\D1\PXL_20260314_150050400.mp4,B,raw + AES + KEM,16.0,273.0766868368603
data\user_data\D1\PXL_20260314_150050400.mp4,C,raw + AES,16.0,737.7555630213795
data\user_data\D1\PXL_20260314_150050400.mp4,D,gzip + AES + KEM,16.0,19.13424478516457
data\user_data\D1\PXL_20260314_150735934.mp4,A,zstd + AES + KEM,16.0,172.51231848030812
data\user_data\D1\PXL_20260314_150735934.mp4,B,raw + AES + KEM,16.0,284.4176459543364
data\user_data\D1\PXL_20260314_150735934.mp4,C,raw + AES,16.0,762.3403858990426
data\user_data\D1\PXL_20260314_150735934.mp4,D,gzip + AES + KEM,16.0,18.33157044648963
data\user_data\D1\PXL_20260315_170224094.mp4,A,zstd + AES + KEM,16.0,180.8279434790961
data\user_data\D1\PXL_20260315_170224094.mp4,B,raw + AES + KEM,16.0,294.46082348183893
data\user_data\D1\PXL_20260315_170224094.mp4,C,raw + AES,16.0,751.7984427030893
data\user_data\D1\PXL_20260315_170224094.mp4,D,gzip + AES + KEM,16.0,19.391386783109237
data\user_data\D1\PXL_20260322_153048866.MP.jpg,A,zstd + AES + KEM,6.363185882568359,99.08170897861353
data\user_data\D1\PXL_20260322_153048866.MP.jpg,B,raw + AES + KEM,6.363185882568359,151.7146590175923
data\user_data\D1\PXL_20260322_153048866.MP.jpg,C,raw + AES,6.363185882568359,731.3754556365338
data\user_data\D1\PXL_20260322_153048866.MP.jpg,D,gzip + AES + KEM,6.363185882568359,17.84378321425707
data\user_data\D1\PXL_20260322_153056438.TS-000.MP.jpg,A,zstd + AES + KEM,6.3701629638671875,89.17425582267383
data\user_data\D1\PXL_20260322_153056438.TS-000.MP.jpg,B,raw + AES + KEM,6.3701629638671875,145.7869999730802
data\user_data\D1\PXL_20260322_153056438.TS-000.MP.jpg,C,raw + AES,6.3701629638671875,733.1717766195438
