path,pipeline,size_mb,t_comp_ms,t_aes_ms,t_kem_ms,t_total_ms
data\user_data\D1\PXL_20251202_133232266.MP.jpg,D,6.188117980957031,324.06129996525124,7.977399975061417,32.436200010124594,364.47489995043725
data\user_data\D1\PXL_20251202_203139659.TS-000.MP.jpg,A,6.016999244689941,21.487399993930012,7.674399996176362,31.91060002427548,61.072400014381856
data\user_data\D1\PXL_20251202_203139659.TS-000.MP.jpg,B,6.016999244689941,0.0,9.056699986103922,34.150299965403974,43.206999951507896
data\user_data\D1\PXL_20251202_203139659.TS-000.MP.jpg,C,6.016999244689941,0.0,7.892100024037063,0.0,7.892100024037063
data\user_data\D1\PXL_20251202_203139659.TS-000.MP.jpg,D,6.016999244689941,301.34629999520257,7.860499958042055,32.48880000319332,341.69559995643795
data\user_data\D1\PXL_20251205_175227735.MP.jpg,A,6.558318138122559,27.353000012226403,9.198200015816838,36.53380001196638,73.08500004000962
data\user_data\D1\PXL_20251205_175227735.MP.jpg,B,6.558318138122559,0.0,8.50440002977848,33.33370003383607,41.83810006361455
data\user_data\D1\PXL_20251205_175227735.MP.jpg,C,6.558318138122559,0.0,9.421400027349591,0.0,9.421400027349591
data\user_data\D1\PXL_20251205_175227735.MP.jpg,D,6.558318138122559,341.98569995351136,9.228700015228242,41.69049998745322,392.9048999561928
data\user_data\D1\PXL_20251209_113357421.MP.jpg,A,6.498793601989746,23.730100016109645,8.72059998800978,37.28009999031201,69.73079999443144
data\user_data\D1\PXL_20251209_113357421.MP.jpg,B,6.498793601989746,0.0,8.820499991998076,34.86620000330731,43.68669999530539
data\user_data\D1\PXL_20251209_113357421.MP.jpg,C,6.498793601989746,0.0,8.906800008844584,0.0,8.906800008844584
data\user_data\D1\PXL_20251209_113357421.MP.jpg,D,6.498793601989746,333.81840004585683,9.038800024427474,34.31700001237914,377.17420008266345
data\user_data\D1\PXL_20251215_080505281.MP.jpg,A,6.015619277954102,24.79160000802949,7.671099971048534,33.62490003928542,66.08760001836345
data\user_data\D1\PXL_20251215_080505281.MP.jpg,B,6.015619277954102,0.0,7.8174000373110175,39.22369994688779,47.04109998419881
data\user_data\D1\PXL_20251215_080505281.MP.jpg,C,6.015619277954102,0.0,8.993100025691092,0.0,8.993100025691092
data\user_data\D1\PXL_20251215_080505281.MP.jpg,D,6.015619277954102,325.0495999818668,8.001899986993521,33.136899990495294,366.1883999593556
data\user_data\D1\PXL_20251221_124325528.MP.jpg,A,6.176543235778809,25.217400048859417,7.777499966323376,34.64590001385659,67.64080002903938
data\user_data\D1\PXL_20251221_124325528.MP.jpg,B,6.176543235778809,0.0,9.467899973969907,33.49360002903268,42.961500003002584
data\user_data\D1\PXL_20251221_124325528.MP.jpg,C,6.176543235778809,0.0,8.185499988030642,0.0,8.185499988030642
data\user_data\D1\PXL_20251221_124325528.MP.jpg,D,6.176543235778809,309.73510001786053,8.122500032186508,32.352899957913905,350.21050000796095
data\user_data\D1\PXL_20251221_192530116.mp4,A,6.287561416625977,22.699300025124103,9.117100038565695,33.07669999776408,64.89310006145388
data\user_data\D1\PXL_20251221_192530116.mp4,B,6.287561416625977,0.0,8.23930004844442,35.19369999412447,43.43300004256889
data\user_data\D1\PXL_20251221_192530116.mp4,C,6.287561416625977,0.0,8.296900021377951,0.0,8.296900021377951
data\user_data\D1\PXL_20251221_192530116.mp4,D,6.287561416625977,306.22450000373647,8.958800055552274,33.73470000224188,348.9180000615306
data\user_data\D1\PXL_20251225_090206837.MP.jpg,A,6.6897783279418945,22.211299976333976,8.658799983095378,34.91400001803413,65.78409997746348
