path,kind,size_bytes,payload_bytes_processed,l_io_read_ms,l_io_write_ms,l_kem_ms,l_aes_ms,l_total_ms,kem_ok,aes_ok,kem_ciphertext_bytes,aes_ciphertext_bytes,dataset_id,run_id,file_index
data\user_data\D1\PXL_20260314_150735934.mp4,binaries,42523759,42523759,47.6137,0.0,45.1267,66.0499,158.7903,True,True,1568,42523775,D1,D1_r1,52
data\user_data\D1\PXL_20260315_170224094.mp4,binaries,48370201,48370201,51.6056,0.0,46.7597,73.383,171.7483,True,True,1568,48370217,D1,D1_r1,53
data\user_data\D1\PXL_20260322_153048866.MP.jpg,images,6672284,6672284,8.1272,0.0,43.8875,9.2419,61.256600000000006,True,True,1568,6672300,D1,D1_r1,54
data\user_data\D1\PXL_20260322_153056438.TS-000.MP.jpg,images,6679600,6679600,9.1579,0.0,41.2378,9.6711,60.0668,True,True,1568,6679616,D1,D1_r1,55
data\user_data\D1\PXL_20260322_212502356.mp4,binaries,35092293,35092293,37.4334,0.0,56.1734,52.5761,146.1829,True,True,1568,35092309,D1,D1_r1,56
data\user_data\D1\PXL_20260329_183242702.mp4,binaries,65861866,65861866,69.5048,0.0,39.7658,92.8369,202.10750000000002,True,True,1568,65861882,D1,D1_r1,57
data\user_data\D1\PXL_20260330_172754088.mp4,binaries,32974275,32974275,33.906,0.0,41.0676,44.646,119.6196,True,True,1568,32974291,D1,D1_r1,58
data\user_data\D1\PXL_20260405_072953716.mp4,binaries,136308768,136308768,164.4046,0.0,44.698,263.3695,472.4721,True,True,1568,136308784,D1,D1_r1,59
data\user_data\D1\PXL_20260405_100514278.jpg,images,6607290,6607290,8.0193,0.0,38.3388,9.4187,55.7768,True,True,1568,6607306,D1,D1_r1,60
data\user_data\D1\PXL_20260405_100643998.MP.jpg,images,7327339,7327339,8.175,0.0,40.3734,9.9214,58.4698,True,True,1568,7327355,D1,D1_r1,61
data\user_data\D1\PXL_20260405_100658032.MP.jpg,images,7109019,7109019,7.8635,0.0,39.6593,9.209,56.73180000000001,True,True,1568,7109035,D1,D1_r1,62
data\user_data\D1\PXL_20260405_100703078.MP.jpg,images,7159189,7159189,8.1402,0.0,39.6238,9.8644,57.6284,True,True,1568,7159205,D1,D1_r1,63
data\user_data\D1\PXL_20260405_100737151.MP.jpg,images,6552501,6552501,10.6326,0.0,62.8762,9.2671,82.7759,True,True,1568,6552517,D1,D1_r1,64
data\user_data\D1\PXL_20260405_100812801.jpg,images,6464076,6464076,7.614,0.0,51.0037,8.7701,67.3878,True,True,1568,6464092,D1,D1_r1,65
data\user_data\D1\PXL_20260405_100828429.MP.jpg,images,6729449,6729449,8.1524,0.0,46.4225,9.3917,63.9666,True,True,1568,6729465,D1,D1_r1,66
